#Algoritmo: Algoritmo Simulated Annealing, Problema: Problema de HimmelBlau
tiempo,best_score,best_position_x,best_position_y
2.638,0.0147269,-2.7858, 3.13916
2.642,0.0147269,-2.7858, 3.13916
2.647,0.0147269,-2.7858, 3.13916
2.652,0.0147269,-2.7858, 3.13916
2.657,0.0147269,-2.7858, 3.13916
2.662,0.0147269,-2.7858, 3.13916
2.666,0.0147269,-2.7858, 3.13916
2.675,0.0147269,-2.7858, 3.13916
2.68,0.0147269,-2.7858, 3.13916
2.685,0.0147269,-2.7858, 3.13916
2.689,0.0147269,-2.7858, 3.13916
2.694,0.0147269,-2.7858, 3.13916
2.699,0.0147269,-2.7858, 3.13916
2.704,0.0147269,-2.7858, 3.13916
2.709,0.0147269,-2.7858, 3.13916
2.714,0.0147269,-2.7858, 3.13916
2.719,0.0147269,-2.7858, 3.13916
2.724,0.0147269,-2.7858, 3.13916
2.728,0.0147269,-2.7858, 3.13916
2.733,0.0147269,-2.7858, 3.13916
2.738,0.0147269,-2.7858, 3.13916
2.743,0.0147269,-2.7858, 3.13916
2.748,0.0147269,-2.7858, 3.13916
2.753,0.0147269,-2.7858, 3.13916
2.758,0.0147269,-2.7858, 3.13916
2.763,0.0147269,-2.7858, 3.13916
2.768,0.0147269,-2.7858, 3.13916
2.771,0.0147269,-2.7858, 3.13916
2.777,0.0147269,-2.7858, 3.13916
2.782,0.0147269,-2.7858, 3.13916
2.786,0.0147269,-2.7858, 3.13916
2.791,0.0147269,-2.7858, 3.13916
2.796,0.0147269,-2.7858, 3.13916
2.801,0.0147269,-2.7858, 3.13916
2.806,0.0147269,-2.7858, 3.13916
2.811,0.0147269,-2.7858, 3.13916
2.814,0.0147269,-2.7858, 3.13916
2.819,0.0147269,-2.7858, 3.13916
2.824,0.0147269,-2.7858, 3.13916
2.829,0.0147269,-2.7858, 3.13916
2.833,0.0147269,-2.7858, 3.13916
2.839,0.0147269,-2.7858, 3.13916
2.844,0.0147269,-2.7858, 3.13916
2.847,0.0147269,-2.7858, 3.13916
2.853,0.0147269,-2.7858, 3.13916
2.857,0.0147269,-2.7858, 3.13916
2.862,0.0147269,-2.7858, 3.13916
2.867,0.0147269,-2.7858, 3.13916
2.872,0.0147269,-2.7858, 3.13916
2.877,0.0147269,-2.7858, 3.13916
2.881,0.0147269,-2.7858, 3.13916
2.886,0.0147269,-2.7858, 3.13916
2.891,0.0147269,-2.7858, 3.13916
2.895,0.0147269,-2.7858, 3.13916
2.899,0.0147269,-2.7858, 3.13916
2.903,0.0147269,-2.7858, 3.13916
2.908,0.0147269,-2.7858, 3.13916
2.913,0.0147269,-2.7858, 3.13916
2.917,0.0147269,-2.7858, 3.13916
2.921,0.0147269,-2.7858, 3.13916
2.925,0.0147269,-2.7858, 3.13916
2.929,0.0147269,-2.7858, 3.13916
2.935,0.0147269,-2.7858, 3.13916
2.939,0.0147269,-2.7858, 3.13916
2.943,0.0147269,-2.7858, 3.13916
2.948,0.0147269,-2.7858, 3.13916
2.952,0.0147269,-2.7858, 3.13916
2.955,0.0147269,-2.7858, 3.13916
2.96,0.0147269,-2.7858, 3.13916
2.964,0.0147269,-2.7858, 3.13916
2.968,0.0147269,-2.7858, 3.13916
2.974,0.0147269,-2.7858, 3.13916
2.978,0.0147269,-2.7858, 3.13916
2.983,0.0147269,-2.7858, 3.13916
2.988,0.0147269,-2.7858, 3.13916
2.991,0.0147269,-2.7858, 3.13916
2.996,0.0147269,-2.7858, 3.13916
3.001,0.0147269,-2.7858, 3.13916
3.006,0.0147269,-2.7858, 3.13916
3.01,0.0147269,-2.7858, 3.13916
3.014,0.0147269,-2.7858, 3.13916
3.019,0.0147269,-2.7858, 3.13916
3.024,0.0147269,-2.7858, 3.13916
3.028,0.0147269,-2.7858, 3.13916
3.033,0.0147269,-2.7858, 3.13916
3.038,0.0147269,-2.7858, 3.13916
3.043,0.0147269,-2.7858, 3.13916
